319,-15098.467,544.621,161.863,dno
320,-15108.093,539.382,159.501,dno
321,-15267.370,623.873,159.522,dno
322,-15276.483,649.802,161.496,dno
323,-15280.518,664.728,163.032,dno
324,-15286.032,683.423,163.657,dno
325,-15264.852,685.576,163.865,dno
326,-15261.309,671.158,163.209,dno
327,-15252.530,641.159,160.086,dno
328,-15239.930,624.212,159.227,dno
329,-15223.029,621.469,159.535,dno
330,-15220.337,602.983,159.379,dno
331,-15215.558,591.493,159.461,dno
332,-15203.079,605.065,159.518,dno
333,-15206.502,621.466,159.713,dno
334,-15214.450,639.532,159.725,dno
335,-15218.716,651.853,159.590,dno
336,-15221.963,663.263,160.822,dno
337,-15225.927,675.443,162.908,dno
338,-15227.100,687.685,163.991,dno
339,-15207.794,688.767,163.902,dno
340,-15204.342,678.931,162.369,dno
341,-15200.194,668.331,160.947,dno
342,-15196.426,655.960,160.055,dno
343,-15190.813,641.281,159.419,dno
344,-15173.127,635.156,159.302,dno
345,-15181.629,662.489,160.346,dno
346,-15188.779,681.726,162.470,dno
347,-15191.813,695.335,163.631,dno
348,-15171.602,699.658,163.843,dno
349,-15169.246,692.356,162.566,dno
350,-15166.523,685.459,161.746,dno
351,-15159.720,669.800,160.747,dno
352,-15150.492,645.554,159.958,dno
353,-15141.369,635.737,159.378,dno
354,-15124.439,644.644,159.492,dno
355,-15134.672,674.448,160.259,dno
356,-15143.080,695.724,162.333,dno
357,-15147.848,707.523,163.153,dno
358,-15134.319,716.451,163.605,dno
359,-15130.196,706.733,162.724,dno
360,-15128.572,701.722,162.637,dno
361,-15124.530,695.486,161.310,dno
362,-15119.298,681.966,160.610,dno
363,-15114.520,669.443,160.171,dno
364,-15105.336,649.282,159.197,dno
365,-15091.719,663.357,159.496,dno
366,-15097.182,689.629,160.813,dno
367,-15097.210,700.569,161.311,dno
368,-15095.407,712.772,163.292,dno
369,-15089.318,722.792,163.934,dno
370,-15067.729,716.657,163.741,dno
371,-15064.834,709.858,161.712,dno
372,-15056.778,690.295,160.915,dno
373,-15051.147,675.898,159.720,dno
374,-15045.225,661.986,159.510,dno
375,-15033.076,675.219,159.530,dno
376,-15042.096,685.410,159.808,dno
377,-15043.727,701.242,161.041,dno
378,-15047.417,713.272,161.596,dno
379,-15048.971,726.449,163.660,dno
380,-15031.749,728.441,163.563,dno
381,-15030.346,722.433,163.143,dno
382,-15029.424,715.900,161.614,dno
383,-15020.297,694.761,160.860,dno
384,-15016.020,685.397,159.486,dno
385,-15000.431,695.672,159.807,dno
386,-15003.940,710.349,160.344,dno
387,-15005.468,716.480,162.317,dno
388,-15005.451,737.415,163.716,dno
389,-14986.696,742.661,163.442,dno
390,-14979.184,726.052,162.136,dno
391,-14977.625,722.325,160.005,dno
392,-14961.063,722.862,159.779,dno
393,-14963.473,728.272,160.137,dno
394,-14966.483,735.345,162.315,dno
395,-14971.412,748.636,163.540,dno
396,-14951.756,759.802,163.188,dno
397,-14945.156,749.734,162.433,dno
398,-14938.585,735.348,160.052,dno
399,-14927.551,747.043,160.312,dno
